filename,gender,color,category
img (1).jpg,men,red,shirt
img (2).jpg,men,blue,shirt
img (3).jpg,men,blue,shirt
img (4).jpg,men,red,shirt
img (5).jpg,men,black,shirt
img (6).jpg,men,orange,shirt
img (7).jpg,men,gray,shirt
img (8).jpg,men,blue,shirt
img (9).jpg,men,white,shoe
img (10).jpg,men,black,shoe
img (11).jpg,men,white,shoe
img (12).jpg,women,white,shirt
img (13).jpg,men,blue,shirt
img (14).jpg,men,gray,shoe
img (15).jpg,men,red,shoe
img (16).jpg,men,black,pant
img (17).jpg,men,blue,pant
img (18).jpg,men,white,shoe
img (19).jpg,men,purple,shoe
img (20).jpg,men,yellow,shoe
img (21).jpg,men,green,shirt
img (22).jpg,men,white,shirt
img (23).jpg,men,black,shirt
img (24).jpg,women,green,shirt
img (25).jpg,women,pink,shirt
img (26).jpg,men,black,shoe
img (27).jpg,men,gray,shoe
img (28).jpg,men,gray,shoe
img (29).jpg,men,orange,shirt
img (30).jpg,men,yellow,shirt
img (31).jpg,men,purple,shirt
img (32).jpg,men,brown,shirt
img (33).jpg,men,white,shirt
img (34).jpg,men,yellow,shirt
img (35).jpg,men,purple,shirt
img (36).jpg,men,gray,shirt
img (37).jpg,men,red,shirt
img (38).jpg,men,red,shirt
img (39).jpg,men,white,shirt
img (40).jpg,men,brown,shirt
img (41).jpg,men,gray,shirt
img (42).jpg,men,gray,shirt
img (43).jpg,men,green,shirt
img (44).jpg,men,orange,shirt
img (45).jpg,men,gray,shirt
img (46).jpg,men,gray,pant
img (47).jpg,men,black,pant
img (48).jpg,men,blue,shirt
img (49).jpg,men,white,shirt
img (50).jpg,women,blue,shirt
img (51).jpg,women,white,shirt
img (52).jpg,women,red,shirt
img (53).jpg,women,blue,shirt
img (54).jpg,women,orange,shirt
img (55).jpg,women,gray,shirt
img (56).jpg,women,yellow,shirt
img (57).jpg,men,gray,pant
img (58).jpg,men,white,shirt
img (59).jpg,men,gray,shirt
img (60).jpg,men,green,shirt
img (61).jpg,men,purple,shirt
img (62).jpg,men,yellow,shirt
img (63).jpg,men,gray,shirt
img (64).jpg,men,orange,shirt
img (65).jpg,men,pink,shirt
img (66).jpg,men,blue,shirt
img (67).jpg,men,blue,shirt
img (68).jpg,men,blue,shirt
img (69).jpg,men,gray,shirt
img (70).jpg,women,black,shirt
img (71).jpg,men,white,shirt
img (72).jpg,men,white,shirt
img (73).jpg,women,blue,pant
img (74).jpg,men,white,shoe
img (75).jpg,men,white,shoe
img (76).jpg,women,green,shoe
img (77).jpg,men,black,shoe
img (78).jpg,men,black,pant
img (79).jpg,men,purple,shirt
img (80).jpg,men,purple,shirt
img (81).jpg,men,blue,shirt
img (82).jpg,men,green,shirt
img (83).jpg,men,blue,shirt
img (84).jpg,men,white,shirt
img (85).jpg,women,black,shirt
img (86).jpg,women,white,shirt
img (87).jpg,men,yellow,shirt
img (88).jpg,men,purple,shirt
img (89).jpg,men,green,shirt
img (90).jpg,men,red,shirt
img (91).jpg,women,green,shirt
img (92).jpg,women,pink,shirt
img (93).jpg,men,white,shirt
img (94).jpg,men,white,shirt
img (95).jpg,men,blue,shirt
img (96).jpg,men,white,shirt
img (97).jpg,men,red,shirt
img (98).jpg,women,pink,shirt
img (99).jpg,women,black,shirt
img (100).jpg,women,black,shirt
img (101).jpg,men,yellow,shirt
img (102).jpg,men,purple,shirt
img (103).jpg,men,white,shirt
img (104).jpg,women,orange,shirt
img (105).jpg,women,pink,shirt
img (106).jpg,women,black,shirt
img (107).jpg,men,pink,shirt
img (108).jpg,men,orange,shirt
img (109).jpg,men,white,shirt
img (110).jpg,men,white,shirt
img (111).jpg,women,pink,shirt
img (112).jpg,men,red,shirt
img (113).jpg,men,black,pant
img (114).jpg,men,orange,shirt
img (115).jpg,women,pink,shirt
img (116).jpg,men,black,shirt
img (117).jpg,women,pink,shirt
img (118).jpg,men,green,shirt
img (119).jpg,men,white,shirt
img (120).jpg,men,black,shirt
img (121).jpg,men,orange,shirt
img (122).jpg,men,blue,shirt
img (123).jpg,men,white,shirt
img (124).jpg,women,white,shirt
img (125).jpg,men,white,shirt
img (126).jpg,men,white,shirt
