id,filename,label,gender,color,category
1,img (1).jpg,men red shirt,men,red,shirt
2,img (2).jpg,men blue shirt,men,blue,shirt
3,img (3).jpg,men blue shirt,men,blue,shirt
4,img (4).jpg,men red shirt,men,red,shirt
5,img (5).jpg,men black shirt,men,black,shirt
6,img (6).jpg,men orange shirt,men,orange,shirt
7,img (7).jpg,men gray shirt,men,gray,shirt
8,img (8).jpg,men blue shirt,men,blue,shirt
9,img (9).jpg,men white shoe,men,white,shoe
10,img (10).jpg,men black shoe,men,black,shoe
11,img (11).jpg,men white shoe,men,white,shoe
12,img (12).jpg,women white shirt,women,white,shirt
13,img (13).jpg,men blue shirt,men,blue,shirt
14,img (14).jpg,men gray shoe,men,gray,shoe
15,img (15).jpg,men red shoe,men,red,shoe
16,img (16).jpg,men black pant,men,black,pant
17,img (17).jpg,men blue pant,men,blue,pant
18,img (18).jpg,men white shoe,men,white,shoe
19,img (19).jpg,men purple shoe,men,purple,shoe
20,img (20).jpg,men yellow shoe,men,yellow,shoe
21,img (21).jpg,men green shirt,men,green,shirt
22,img (22).jpg,men white shirt,men,white,shirt
23,img (23).jpg,men black shirt,men,black,shirt
24,img (24).jpg,women green shirt,women,green,shirt
25,img (25).jpg,women pink shirt,women,pink,shirt
26,img (26).jpg,men black shoe,men,black,shoe
27,img (27).jpg,men gray shoe,men,gray,shoe
28,img (28).jpg,men gray shoe,men,gray,shoe
29,img (29).jpg,men orange shirt,men,orange,shirt
30,img (30).jpg,men yellow shirt,men,yellow,shirt
31,img (31).jpg,men purple shirt,men,purple,shirt
32,img (32).jpg,men brown shirt,men,brown,shirt
33,img (33).jpg,men white shirt,men,white,shirt
34,img (34).jpg,men yellow shirt,men,yellow,shirt
35,img (35).jpg,men purple shirt,men,purple,shirt
36,img (36).jpg,men gray shirt,men,gray,shirt
37,img (37).jpg,men red shirt,men,red,shirt
38,img (38).jpg,men red shirt,men,red,shirt
39,img (39).jpg,men white shirt,men,white,shirt
40,img (40).jpg,men brown shirt,men,brown,shirt
41,img (41).jpg,men gray shirt,men,gray,shirt
42,img (42).jpg,men gray shirt,men,gray,shirt
43,img (43).jpg,men green shirt,men,green,shirt
44,img (44).jpg,men orange shirt,men,orange,shirt
45,img (45).jpg,men gray shirt,men,gray,shirt
46,img (46).jpg,men gray pant,men,gray,pant
47,img (47).jpg,men black pant,men,black,pant
48,img (48).jpg,men blue shirt,men,blue,shirt
49,img (49).jpg,men white shirt,men,white,shirt
50,img (50).jpg,women blue shirt,women,blue,shirt
51,img (51).jpg,women white shirt,women,white,shirt
52,img (52).jpg,women red shirt,women,red,shirt
53,img (53).jpg,women blue shirt,women,blue,shirt
